configuration_id,TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
Default,br.com.swconsultoria.certificado.KeyStoreService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5878496503496504,96,52,9,22,0.0
Default,br.com.swconsultoria.nfe.dom.enuns.EventosEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.828125,16,8,3,4,1.0
Default,br.com.swconsultoria.nfe.schema.envcce.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,17,47,0.8
Default,br.com.swconsultoria.nfe.schema.eventoCancSubst.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema.eventoCancNFe.ReferenceType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,128,128,19,53,1.0
Default,br.com.swconsultoria.nfe.schema.envEventoAtorInteressado.TEnvEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,55,52,8,25,1.0
Default,br.com.swconsultoria.nfe.schema.retenvcce.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,15,41,0.9
Default,br.com.swconsultoria.nfe.schema.retEnvEventoAtorInteressado.TRetEnvEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9861111111111112,210,207,23,65,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.Ctg,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,251,251,27,73,0.9917355371900827
Default,br.com.swconsultoria.nfe.schema.envEventoAtorInteressado.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvConfRecebto.SignatureValueType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,6,18,1.0
Default,br.com.swconsultoria.nfe.schema_4.retConsReciNFe.TUfEmi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.ModalRodov,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,116,116,18,55,0.4
Default,br.com.swconsultoria.nfe.schema.envEventoAtorInteressado.TUfEmi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
